,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK,xG-90,xAG-90,xG+xAG,npxG-90,npxG+xAG-90
1553,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21,2002,23,13,1053,11.7,5,2,7,4,1,1,2,0,2.5,1.7,2.6,4.3,76,52,136,0.43,0.17,0.60,0.34,0.51,0.21,0.23,0.44,0.14,0.37
1554,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,26,1997,22,17,1454,16.2,1,2,3,1,0,0,3,1,0.8,0.8,0.9,1.7,38,41,68,0.06,0.12,0.19,0.06,0.19,0.05,0.05,0.10,0.05,0.10
1555,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,25,1997,36,34,3044,33.8,4,0,4,4,0,0,4,0,4.3,4.3,0.7,5.0,13,117,8,0.12,0.00,0.12,0.12,0.12,0.13,0.02,0.15,0.13,0.15
1556,Soungoutou Magassa,fr FRA,"DF,MF",Monaco,fr Ligue 1,19,2003,21,15,1346,15.0,0,0,0,0,0,0,7,0,0.6,0.6,0.1,0.8,7,92,13,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
1557,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25,1998,27,20,1800,20.0,4,2,6,4,0,0,9,1,2.3,2.3,1.1,3.4,8,64,25,0.20,0.10,0.30,0.20,0.30,0.11,0.06,0.17,0.11,0.17
1558,Matej Maglica,hr CRO,DF,Darmstadt 98,de Bundesliga,24,1998,26,21,1698,18.9,1,0,1,1,0,0,7,2,0.6,0.6,0.7,1.2,11,62,5,0.05,0.00,0.05,0.05,0.05,0.03,0.03,0.06,0.03,0.06
1559,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27,1995,33,27,2444,27.2,0,0,0,0,0,0,6,0,0.5,0.5,0.2,0.8,15,79,10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
1560,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,25,1998,33,30,2340,26.0,2,0,2,2,0,0,6,0,2.4,2.4,1.8,4.3,36,101,61,0.08,0.00,0.08,0.08,0.08,0.09,0.07,0.16,0.09,0.16
1561,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,26,1997,31,17,1687,18.7,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,14,71,47,0.05,0.00,0.05,0.05,0.05,0.09,0.04,0.12,0.09,0.12
1562,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,23,1999,29,14,1438,16.0,5,2,7,5,0,0,5,0,3.1,3.1,1.6,4.7,31,34,121,0.31,0.13,0.44,0.31,0.44,0.19,0.10,0.29,0.19,0.29
1563,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30,1993,22,18,1653,18.4,2,2,4,2,0,0,4,0,2.0,2.0,1.2,3.3,20,73,2,0.11,0.11,0.22,0.11,0.22,0.11,0.07,0.18,0.11,0.18
1564,Jon Magunacelaya,es ESP,"FW,MF",Real Sociedad,es La Liga,23,2000,5,1,121,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,2,2,10,0.00,0.00,0.00,0.00,0.00,0.21,0.34,0.55,0.21,0.55
1565,Adel Mahamoud,km COM,FW,Nantes,fr Ligue 1,20,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1566,Arne Maier,de GER,MF,Augsburg,de Bundesliga,24,1999,22,10,1003,11.1,2,4,6,2,0,0,0,0,1.5,1.5,2.3,3.9,17,64,66,0.18,0.36,0.54,0.18,0.54,0.14,0.21,0.35,0.14,0.35
1567,Habib Maïga,ci CIV,"MF,FW",Metz,fr Ligue 1,27,1996,7,1,147,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
1568,Mike Maignan,fr FRA,GK,Milan,it Serie A,28,1995,29,29,2609,29.0,0,1,1,0,0,0,1,1,0.0,0.0,0.3,0.3,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01
1569,Linton Maina,de GER,"FW,MF",Köln,de Bundesliga,24,1999,31,21,1901,21.1,1,3,4,1,0,0,4,0,1.9,1.9,3.1,5.0,109,61,169,0.05,0.14,0.19,0.05,0.19,0.09,0.15,0.24,0.09,0.24
1570,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,28,1994,34,34,3060,34.0,2,0,2,2,0,0,1,0,3.2,3.2,0.1,3.2,33,122,6,0.06,0.00,0.06,0.06,0.06,0.09,0.00,0.09,0.09,0.09
1571,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,18,2005,24,24,1924,21.4,3,1,4,3,0,0,3,0,0.9,0.9,0.7,1.6,25,64,36,0.14,0.05,0.19,0.14,0.19,0.04,0.03,0.07,0.04,0.07
1572,Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,fr Ligue 1,25,1997,23,16,1432,15.9,1,4,5,0,1,1,1,1,3.0,2.2,2.1,4.2,26,76,82,0.06,0.25,0.31,0.00,0.25,0.19,0.13,0.32,0.14,0.27
1573,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,23,1999,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1574,Lovro Majer,hr CRO,MF,Rennes,fr Ligue 1,25,1998,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,0,1,0.00,0.00,0.00,0.00,0.00,0.14,1.39,1.52,0.14,1.52
1575,Lovro Majer,hr CRO,"MF,FW",Wolfsburg,de Bundesliga,25,1998,32,25,2106,23.4,5,5,10,3,2,2,5,0,5.4,3.8,3.2,7.0,61,124,140,0.21,0.21,0.43,0.13,0.34,0.23,0.14,0.37,0.16,0.30
1576,Jean-Victor Makengo,fr FRA,"MF,FW",Lorient,fr Ligue 1,25,1998,11,5,479,5.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,11,28,17,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
1577,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,21,2001,20,10,1026,11.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,27,52,34,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
1578,Antoine Makoumbou,cg CGO,MF,Cagliari,it Serie A,25,1998,32,32,2702,30.0,1,0,1,1,0,0,5,2,0.7,0.7,0.9,1.6,37,137,52,0.03,0.00,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05
1579,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,28,1995,37,37,3265,36.3,4,0,4,4,0,0,4,0,5.5,5.5,1.1,6.6,22,73,35,0.11,0.00,0.11,0.11,0.11,0.15,0.03,0.18,0.15,0.18
1580,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,22,2001,11,6,602,6.7,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,9,27,7,0.15,0.00,0.15,0.15,0.15,0.15,0.04,0.18,0.15,0.18
1581,Daniel Maldini,it ITA,"MF,FW",Monza,it Serie A,21,2001,11,2,333,3.7,4,1,5,4,0,0,0,0,1.3,1.3,1.2,2.4,15,10,22,1.08,0.27,1.35,1.08,1.35,0.34,0.31,0.65,0.34,0.65
1582,Daniel Maldini,it ITA,"FW,MF",Empoli,it Serie A,21,2001,7,3,263,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7,10,10,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.12,0.10,0.12
1583,Youssef Maleh,ma MAR,MF,Empoli,it Serie A,24,1998,34,30,2602,28.9,0,1,1,0,0,0,11,0,1.6,1.6,2.4,4.0,17,117,65,0.00,0.03,0.03,0.00,0.03,0.05,0.08,0.14,0.05,0.14
1584,Donyell Malen,nl NED,"FW,MF",Dortmund,de Bundesliga,24,1999,27,21,1781,19.8,13,1,14,13,0,0,5,0,9.5,9.5,3.0,12.5,73,57,163,0.66,0.05,0.71,0.66,0.71,0.48,0.15,0.63,0.48,0.63
1585,Ruslan Malinovskyi,ua UKR,MF,Genoa,it Serie A,30,1993,28,18,1544,17.2,4,1,5,4,0,0,7,0,1.1,1.1,0.6,1.6,24,83,31,0.23,0.06,0.29,0.23,0.29,0.06,0.03,0.10,0.06,0.10
1586,Lennard Maloney,us USA,MF,Heidenheim,de Bundesliga,23,1999,29,27,2284,25.4,1,1,2,1,0,0,1,0,0.8,0.8,1.1,1.8,3,62,17,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07
1587,Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1588,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,22,2000,37,37,3284,36.5,0,0,0,0,0,0,3,1,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1589,David Mamutovic,de GER,"FW,DF",Mainz 05,de Bundesliga,22,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1590,Wilson Manafá,pt POR,"DF,MF",Granada,es La Liga,29,1994,4,3,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,5,4,6,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
1591,Hianga Mananga Mbock,fr FRA,"MF,FW",Brest,fr Ligue 1,23,1999,2,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,1,2,0,0.00,0.00,0.00,0.00,0.00,0.55,1.62,2.17,0.55,2.17
1592,Gianluca Mancini,it ITA,DF,Roma,it Serie A,27,1996,36,34,2869,31.9,4,1,5,4,0,0,9,0,1.9,1.9,1.1,3.0,38,139,13,0.13,0.03,0.16,0.13,0.16,0.06,0.04,0.10,0.06,0.10
1593,Marco Mancosu,it ITA,"MF,FW",Cagliari,it Serie A,34,1988,6,3,156,1.7,0,0,0,0,0,1,0,0,1.2,0.5,0.2,0.7,4,8,11,0.00,0.00,0.00,0.00,0.00,0.71,0.13,0.85,0.29,0.42
1594,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,38,1985,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1595,Christos Mandas,gr GRE,GK,Lazio,it Serie A,21,2001,9,8,721,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1596,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,29,1994,16,7,731,8.1,2,1,3,2,0,0,2,0,0.9,0.9,0.6,1.5,10,36,17,0.25,0.12,0.37,0.25,0.37,0.10,0.08,0.18,0.10,0.18
1597,Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,31,1991,16,12,1113,12.4,1,0,1,1,0,0,3,0,0.6,0.6,0.7,1.3,6,55,4,0.08,0.00,0.08,0.08,0.08,0.05,0.05,0.10,0.05,0.10
1598,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,26,1997,33,16,1588,17.6,3,3,6,3,0,0,5,0,3.5,3.5,1.6,5.2,7,93,32,0.17,0.17,0.34,0.17,0.34,0.20,0.09,0.29,0.20,0.29
1599,Orel Mangala,be BEL,MF,Nott'ham Forest,eng Premier League,25,1998,20,19,1563,17.4,1,0,1,1,0,0,6,0,0.8,0.8,0.2,1.1,13,45,14,0.06,0.00,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06
1600,Orel Mangala,be BEL,MF,Lyon,fr Ligue 1,25,1998,8,4,398,4.4,2,0,2,2,0,0,0,0,1.0,1.0,0.7,1.6,9,26,21,0.45,0.00,0.45,0.45,0.45,0.22,0.15,0.37,0.22,0.37
1601,Vito Mannone,it ITA,GK,Lille,fr Ligue 1,35,1988,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1602,Kostas Manolas,gr GRE,DF,Salernitana,it Serie A,32,1991,8,6,488,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,10,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
1603,Javier Manquillo,es ESP,"DF,MF",Celta Vigo,es La Liga,29,1994,12,10,744,8.3,0,1,1,0,0,0,3,0,0.1,0.1,0.2,0.3,5,25,16,0.00,0.12,0.12,0.00,0.12,0.01,0.02,0.04,0.01,0.04
1604,Braydon Manu,gh GHA,MF,Darmstadt 98,de Bundesliga,26,1997,4,3,171,1.9,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,5,1,9,0.00,0.00,0.00,0.00,0.00,0.19,0.04,0.23,0.19,0.23
1605,Benson Manuel,ao ANG,"MF,FW",Burnley,eng Premier League,26,1997,8,1,116,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,2,14,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
1606,Faitout Maouassa,fr FRA,"DF,MF",Granada,es La Liga,25,1998,6,2,229,2.5,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,8,6,15,0.00,0.39,0.39,0.00,0.39,0.06,0.18,0.24,0.06,0.24
1607,Faitout Maouassa,fr FRA,"MF,DF",Lens,fr Ligue 1,25,1998,3,1,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,0,2,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21
1608,Marcão,br BRA,DF,Sevilla,es La Liga,27,1996,7,3,355,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,3,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
1609,Solly March,eng ENG,"FW,DF",Brighton,eng Premier League,29,1994,7,7,554,6.2,3,1,4,3,0,0,1,0,2.0,2.0,1.0,2.9,14,24,44,0.49,0.16,0.65,0.49,0.65,0.32,0.16,0.47,0.32,0.47
1610,Riccardo Marchizza,it ITA,DF,Frosinone,it Serie A,25,1998,13,13,1148,12.8,0,4,4,0,0,0,1,0,0.4,0.4,0.8,1.2,6,36,39,0.00,0.31,0.31,0.00,0.31,0.03,0.06,0.10,0.03,0.10
1611,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,31,1992,31,25,2272,25.2,1,0,1,1,0,0,4,0,1.6,1.6,0.3,1.9,32,148,7,0.04,0.00,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07
1612,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,34,1989,28,26,2258,25.1,1,5,6,1,0,0,5,0,0.6,0.6,3.1,3.7,51,143,125,0.04,0.20,0.24,0.04,0.24,0.03,0.12,0.15,0.03,0.15
1613,Alberto Marí,es ESP,FW,Valencia,es La Liga,22,2001,16,2,276,3.1,1,1,2,0,1,1,0,0,1.8,1.2,0.9,2.0,2,6,13,0.33,0.33,0.65,0.00,0.33,0.60,0.28,0.88,0.39,0.67
1614,José Mari,es ESP,"MF,FW",Cádiz,es La Liga,35,1987,3,0,14,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18
1615,Pablo Marí,es ESP,DF,Monza,it Serie A,29,1993,34,30,2615,29.1,0,0,0,0,0,0,7,0,0.4,0.4,0.3,0.7,2,62,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
1616,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,28,1995,22,14,1326,14.7,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.5,2,26,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
1617,Mariano,do DOM,"FW,MF",Sevilla,es La Liga,29,1993,9,2,244,2.7,0,0,0,0,0,0,1,0,1.2,1.2,0.1,1.3,3,6,17,0.00,0.00,0.00,0.00,0.00,0.45,0.02,0.48,0.45,0.48
1618,Mirko Marić,hr CRO,FW,Monza,it Serie A,28,1995,10,1,287,3.2,1,0,1,1,0,0,0,1,0.9,0.9,0.5,1.3,2,4,30,0.31,0.00,0.31,0.31,0.31,0.27,0.15,0.42,0.27,0.42
1619,Rafa Marín,es ESP,DF,Alavés,es La Liga,21,2002,33,27,2443,27.1,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1.0,13,77,6,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
1620,Răzvan Marin,ro ROU,MF,Empoli,it Serie A,27,1996,30,20,1818,20.2,0,3,3,0,0,0,3,0,1.1,1.1,3.0,4.1,21,72,24,0.00,0.15,0.15,0.00,0.15,0.05,0.15,0.20,0.05,0.20
1621,Diego Mariño,es ESP,GK,Almería,es La Liga,33,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1622,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,29,1994,23,21,1767,19.6,1,0,1,1,0,0,0,1,0.4,0.4,0.5,0.9,4,59,5,0.05,0.00,0.05,0.05,0.05,0.02,0.02,0.05,0.02,0.05
1623,Mika Màrmol,es ESP,DF,Las Palmas,es La Liga,21,2002,36,36,3178,35.3,0,1,1,0,0,0,6,1,0.2,0.2,1.0,1.1,36,142,13,0.00,0.03,0.03,0.00,0.03,0.00,0.03,0.03,0.00,0.03
1624,Omar Marmoush,eg EGY,"FW,MF",Eint Frankfurt,de Bundesliga,24,1999,29,27,2301,25.6,12,6,18,10,2,2,7,0,11.6,10.1,4.4,14.5,88,60,165,0.47,0.23,0.70,0.39,0.63,0.46,0.17,0.63,0.39,0.57
1625,Marquinhos,br BRA,"FW,MF",Nantes,fr Ligue 1,20,2003,7,1,154,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.7,1.0,2,4,11,0.00,0.00,0.00,0.00,0.00,0.15,0.43,0.58,0.15,0.58
1626,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,29,1994,21,18,1537,17.1,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,18,114,3,0.00,0.06,0.06,0.00,0.06,0.03,0.03,0.05,0.03,0.05
1627,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,21,2001,2,1,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1628,Agustín Martegani,ar ARG,MF,Salernitana,it Serie A,23,2000,18,6,731,8.1,1,0,1,1,0,0,1,0,0.6,0.6,0.5,1.1,14,28,22,0.12,0.00,0.12,0.12,0.12,0.07,0.06,0.13,0.07,0.13
1629,Eric Martel,de GER,MF,Köln,de Bundesliga,21,2002,30,29,2457,27.3,1,1,2,1,0,0,6,0,2.2,2.2,1.1,3.3,21,75,35,0.04,0.04,0.07,0.04,0.07,0.08,0.04,0.12,0.08,0.12
1630,Roger Martí,es ESP,FW,Cádiz,es La Liga,32,1991,23,18,1359,15.1,2,3,5,2,0,0,3,0,2.8,2.8,2.9,5.6,7,19,64,0.13,0.20,0.33,0.13,0.33,0.18,0.19,0.37,0.18,0.37
1631,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,27,1995,13,5,448,5.0,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.5,6,12,36,0.20,0.00,0.20,0.20,0.20,0.25,0.05,0.29,0.25,0.29
1632,Aarón Martín,es ESP,DF,Genoa,it Serie A,26,1997,22,17,1376,15.3,0,1,1,0,0,0,4,1,0.2,0.2,1.7,1.9,28,35,72,0.00,0.07,0.07,0.00,0.07,0.01,0.11,0.12,0.01,0.12
1633,Iván Martín,es ESP,MF,Girona,es La Liga,24,1999,36,33,2729,30.3,5,4,9,5,0,0,5,0,2.9,2.9,3.4,6.3,84,143,109,0.16,0.13,0.30,0.16,0.30,0.09,0.11,0.21,0.09,0.21
1634,Jon Martin,es ESP,DF,Real Sociedad,es La Liga,17,2006,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1635,Jonas Martin,fr FRA,MF,Brest,fr Ligue 1,33,1990,31,9,1208,13.4,0,1,1,0,0,0,5,0,1.2,1.2,0.9,2.1,28,105,32,0.00,0.07,0.07,0.00,0.07,0.09,0.07,0.15,0.09,0.15
1636,Mario Martín,es ESP,MF,Real Madrid,es La Liga,19,2004,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1637,Gabriel Martinelli,br BRA,FW,Arsenal,eng Premier League,22,2001,35,24,2019,22.4,6,4,10,6,0,0,1,0,6.8,6.8,6.1,12.9,127,65,345,0.27,0.18,0.45,0.27,0.45,0.31,0.27,0.58,0.31,0.58
1638,Tommaso Martinelli,it ITA,GK,Fiorentina,it Serie A,17,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1639,Arnau Martinez,es ESP,DF,Girona,es La Liga,20,2003,21,14,1241,13.8,0,2,2,0,0,0,5,0,0.2,0.2,1.4,1.6,29,68,16,0.00,0.15,0.15,0.00,0.15,0.01,0.10,0.12,0.01,0.12
1640,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,30,1992,34,34,3015,33.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1641,Iñigo Martínez,es ESP,DF,Barcelona,es La Liga,32,1991,20,13,1296,14.4,0,0,0,0,0,0,5,0,0.4,0.4,0.0,0.4,33,97,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
1642,Josep Martinez,es ESP,GK,Genoa,it Serie A,25,1998,36,36,3239,36.0,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1643,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,25,1997,33,31,2656,29.5,24,3,27,22,2,3,5,0,17.6,15.3,3.6,18.8,54,80,172,0.81,0.10,0.91,0.75,0.85,0.60,0.12,0.72,0.52,0.64
1644,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,25,1998,11,8,646,7.2,0,1,1,0,0,0,3,0,0.0,0.0,0.1,0.1,8,28,1,0.00,0.14,0.14,0.00,0.14,0.00,0.01,0.01,0.00,0.01
1645,Marc Martínez,es ESP,GK,Granada,es La Liga,33,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1646,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,27,1996,29,26,2291,25.5,5,1,6,5,0,0,9,0,2.7,2.7,1.8,4.6,23,177,16,0.20,0.04,0.24,0.20,0.24,0.11,0.07,0.18,0.11,0.18
1647,Adam Marušić,me MNE,DF,Lazio,it Serie A,30,1992,37,37,3100,34.4,1,0,1,1,0,0,3,1,0.4,0.4,0.8,1.2,35,118,108,0.03,0.00,0.03,0.03,0.03,0.01,0.02,0.04,0.01,0.04
1648,Marvin,es ESP,"FW,DF",Las Palmas,es La Liga,23,2000,31,17,1855,20.6,0,2,2,0,0,0,5,0,0.9,0.9,2.5,3.5,60,36,177,0.00,0.10,0.10,0.00,0.10,0.05,0.12,0.17,0.05,0.17
1649,Omar Mascarell,gq EQG,MF,Mallorca,es La Liga,30,1993,29,18,1571,17.5,0,0,0,0,0,0,8,1,0.4,0.4,0.0,0.4,12,67,11,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
1650,Adam Masina,ma MAR,DF,Udinese,it Serie A,29,1994,4,1,64,0.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
1651,Adam Masina,ma MAR,DF,Torino,it Serie A,29,1994,16,10,1024,11.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3,42,6,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
1652,Erhan Mašović,rs SRB,"DF,MF",Bochum,de Bundesliga,24,1998,29,24,2219,24.7,0,0,0,0,0,0,7,0,1.1,1.1,0.3,1.4,15,47,10,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06
1653,Han-Noah Massengo,fr FRA,"MF,DF",Burnley,eng Premier League,22,2001,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1654,Roberto Massimo,de GER,"FW,DF",Stuttgart,de Bundesliga,22,2000,5,0,84,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
1655,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,30,1992,28,25,2220,24.7,0,3,3,0,0,0,6,0,0.6,0.6,2.2,2.8,32,97,60,0.00,0.12,0.12,0.00,0.12,0.02,0.09,0.11,0.02,0.11
1656,Jaime Mata,es ESP,"FW,MF",Getafe,es La Liga,34,1988,35,22,1787,19.9,5,1,6,5,0,0,10,1,5.6,5.6,1.5,7.2,16,19,138,0.25,0.05,0.30,0.25,0.30,0.28,0.08,0.36,0.28,0.36
1657,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,20,2002,34,27,2069,23.0,3,3,6,3,0,0,9,0,3.4,3.4,2.2,5.7,43,150,90,0.13,0.13,0.26,0.13,0.26,0.15,0.10,0.25,0.15,0.25
1658,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,21,2002,6,0,102,1.1,0,1,1,0,0,0,2,0,0.1,0.1,1.0,1.1,2,10,2,0.00,0.88,0.88,0.00,0.88,0.07,0.91,0.98,0.07,0.98
1659,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,26,1997,35,25,2282,25.4,16,5,21,14,2,2,3,0,10.9,9.4,3.1,12.5,29,25,135,0.63,0.20,0.83,0.55,0.75,0.43,0.12,0.56,0.37,0.49
1660,Nemanja Matić,rs SRB,MF,Rennes,fr Ligue 1,34,1988,13,11,1027,11.4,0,0,0,0,0,0,7,0,0.3,0.3,0.8,1.1,14,83,8,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10
